match_date,team_1,team_2,t1_points,t2_points,team_1_elo,team_2_elo
2016-05-10,ENVY,VIRTUS.PRO,1,2,1380.700776715794,1438.865813119624
2016-05-11,NIP,LIQUID,22,18,1631.7364746014784,1485.5123469238563
2016-05-11,FNATIC,NIP,9,16,1555.7694655140008,1644.8742125750846
2016-05-11,ENVY,MOUSESPORTS,1,2,1371.20337261937,1540.0492626096548
2016-05-11,ASTRALIS,LUMINOSITY,1,2,1579.5226574318701,1717.1250034343343
2016-05-11,LUMINOSITY,G2,12,16,1691.6427224005472,1505.750216219672
2016-05-11,FNATIC,CLOUD9,16,10,1570.4230117362085,1511.808733436325
2016-05-12,CLOUD9,LIQUID,0,2,1494.6000472040744,1502.7210331561068
2016-05-12,FNATIC,LIQUID,2,0,1583.3440921817976,1489.7999527105178
2016-05-14,NIP,LUMINOSITY,1,2,1631.0150668713402,1705.5018681042916
2016-05-14,G2,FNATIC,2,1,1525.2652982848012,1563.8290101166683
2016-05-15,LUMINOSITY,G2,3,2,1713.8739580335439,1516.893208355549
2016-05-16,DIGNITAS,HELLRAISERS,2,1,1483.0109154034099,1471.6699280009057
2016-05-17,FNATIC,G2,0,2,1545.6805901588823,1535.041628313335
2016-05-17,VIRTUS.PRO,G2,0,2,1427.1851074066287,1546.7223340263301
2016-05-18,ENVY,NIP,0,2,1365.3447091476164,1636.8737303430937
2016-05-18,ASTRALIS,DIGNITAS,2,0,1591.1890242842776,1471.3445485510024
2016-05-19,HELLRAISERS,SK,2,0,1486.553414773368,1432.5021955397058
2016-05-19,ENVY,DIGNITAS,2,1,1386.080158823715,1450.6090988749038
2016-05-19,FNATIC,MOUSESPORTS,2,0,1561.4212806486566,1524.3085721198804
2016-05-20,HELLRAISERS,VIRTUS.PRO,0,2,1467.8457057184423,1445.8928164615545
2016-05-20,ASTRALIS,FAZE,2,0,1602.697063198813,1479.448105096913
2016-05-21,NAVI,HELLRAISERS,2,0,1641.2567077112237,1458.900400938073
2016-05-21,GODSENT,NAVI,0,2,1490.16889590055,1651.0878118106737
2016-05-21,FNATIC,ASTRALIS,0,2,1547.3132083207834,1616.8051355266864
2016-05-21,OPTIC,TEMPO STORM,2,0,1495.8327985795775,1507.6524265825165
2016-05-21,LIQUID,CLOUD9,0,2,1474.020991167579,1510.3790087470131
2016-05-22,OPTIC,TEMPO STORM,2,1,1512.3769026771176,1491.1083224849763
2016-05-22,VIRTUS.PRO,NAVI,2,1,1470.3780331346168,1626.6025951376114
2016-05-22,NIP,FAZE,1,2,1614.0825316748976,1502.239303765109
2016-05-22,DIGNITAS,MOUSESPORTS,1,2,1437.9530788938855,1536.9645921008987
2016-05-23,DIGNITAS,G2,0,2,1426.8046169249044,1557.8707959953113
2016-05-23,NIP,MOUSESPORTS,2,0,1626.5883157033595,1524.4588080724368
